movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
Happy Death Day 2U,9000000,64179495,613.11,"['Drama', 'Horror', 'Mystery']",2019,2,tt8155288
Black or White,9000000,21971021,144.12,['Drama'],2015,1,tt2883434
The Edge of Seventeen,9000000,19096003,112.18,"['Comedy', 'Drama']",2016,11,tt1878870
Jackie,9000000,36588512,306.54,"['Biography', 'Drama', 'History']",2016,12,tt1619029
Glee: The 3D Concert Movie,9000000,17462398,94.03,"['Documentary', 'Music']",2011,8,tt1922612
Loving,9000000,12898064,43.31,"['Biography', 'Drama', 'Romance']",2016,11,tt4669986
The Sun is Also a Star,9000000,5434029,-39.62,"['Drama', 'Romance']",2019,5,tt6423362
The Sapphires,9000000,20395040,126.61,"['Biography', 'Comedy', 'Drama']",2013,3,tt1673697
Greater,9000000,2000093,-77.78,"['Biography', 'Family', 'Sport']",2016,8,tt2950418
Destroyer,9000000,3681096,-59.1,"['Action', 'Crime', 'Drama']",2018,12,tt7137380
Dheepan,9000000,7704357,-14.4,"['Crime', 'Drama']",2016,5,tt4082068
Skin Trade,9000000,1242,-99.99,"['Action', 'Crime', 'Thriller']",2015,5,tt1641841
Polisse,8900000,22744132,155.55,"['Crime', 'Drama']",2012,5,tt1661420
The DUFF,8500000,43528634,412.1,"['Comedy', 'Romance']",2015,2,tt1666801
Nightcrawler,8500000,50334418,492.17,"['Crime', 'Drama', 'Thriller']",2014,10,tt2872718
Baggage Claim,8500000,22885836,169.25,['Comedy'],2013,9,tt1171222
Middle School: The Worst Years of My Life,8500000,23311293,174.25,"['Comedy', 'Family']",2016,10,tt4981636
All is Lost,8500000,10386814,22.2,"['Action', 'Adventure', 'Drama']",2013,10,tt2017038
The Rover,8500000,3180252,-62.59,"['Action', 'Crime', 'Drama']",2014,6,tt2345737
My Name is Khan,8470000,42355526,400.07,['Drama'],2010,2,tt1188996
Yeh Jawaani Hai Deewani,8300000,50827466,512.38,"['Comedy', 'Drama', 'Musical']",2013,5,tt2178470
The Intruder,8000000,36005871,350.07,"['Drama', 'Horror', 'Mystery']",2019,5,tt6722030
50/50,8000000,41334735,416.68,"['Comedy', 'Drama', 'Romance']",2011,9,tt1306980
A Walk in the Woods,8000000,37119358,363.99,"['Adventure', 'Biography', 'Comedy']",2015,9,tt1178665
That Awkward Moment,8000000,53068955,563.36,"['Comedy', 'Romance']",2014,1,tt1800246
Enough Said,8000000,25621449,220.27,"['Comedy', 'Drama', 'Romance']",2013,9,tt2390361
Begin Again,8000000,68838736,760.48,"['Drama', 'Family']",2014,6,tt1945037
Prom,8000000,10763183,34.54,"['Comedy', 'Drama', 'Family']",2011,4,tt1604171
Me and Earl and the Dying Girl,8000000,9266180,15.83,"['Comedy', 'Drama', 'Romance']",2015,6,tt2582496
It's Kind of a Funny Story,8000000,6632950,-17.09,"['Comedy', 'Drama', 'Romance']",2010,10,tt0804497
Morgan,8000000,7298786,-8.77,"['Action', 'Horror', 'Sci-Fi']",2016,9,tt4520364
Anomalisa,8000000,5706168,-28.67,"['Animation', 'Comedy', 'Drama']",2015,12,tt2401878
Another Year,8000000,20005613,150.07,"['Comedy', 'Drama']",2010,12,tt1431181
Lean on Pete,8000000,2455027,-69.31,"['Adventure', 'Drama']",2018,4,tt5340300
Made in Dagenham,8000000,15644196,95.55,"['Biography', 'Comedy', 'Drama']",2010,11,tt1371155
El Chicano,8000000,700261,-91.25,['Drama'],2019,5,tt7374952
London Fields,8000000,433732,-94.58,"['Crime', 'Mystery', 'Thriller']",2018,10,tt1273221
Restless,8000000,2772511,-65.34,"['Drama', 'Romance']",2011,9,tt1498569
Wild Target,8000000,5314194,-33.57,"['Action', 'Comedy', 'Crime']",2010,10,tt1235189
Wuthering Heights,8000000,2721534,-65.98,"['Drama', 'Romance']",2012,10,tt1181614
A Street Cat Named Bob,8000000,17382693,117.28,"['Biography', 'Comedy', 'Drama']",2016,11,tt3606888
Aloft,8000000,237688,-97.03,['Drama'],2015,5,tt2494384
Albert Nobbs,7500000,8539003,13.85,"['Drama', 'Romance']",2011,12,tt1602098
The Neon Demon,7500000,3559803,-52.54,"['Horror', 'Thriller']",2016,6,tt1974419
